Spotid	Genesymbol 	0.5hours	1hours	2hours	4hours	6hours
453	YBL042C	-3.32	-2.64	-1.12	-1.36	-1
454	YJL136C	-2.21	-1.09	-0.23	0.11	-0.37
455	YPR144C	-2.52	-0.9	-0.33	-0.2	-0.29
456	YBR045C	-0.2	-0.29	1.39	-0.92	-0.45
457	YGR145W	-1.94	-0.81	0.37	-0.4	-0.38
458	YPL054W	3.24	1.58	0.94	1.72	3.04
459	YKR094C	-2.18	-1.12	-0.2	0.12	-0.12
460	YOR224C	-2.22	-1.03	-0.43	0.08	-0.25
461	YNL114C	-2.18	-0.79	0.12	-0.18	-0.1
462	YMR239C	-2.12	-0.51	-0.2	0.18	-0.32
463	YOR106W	-0.36	0.69	-0.15	-0.18	-1.61
464	YOR098C	-0.81	0.61	-0.51	-1.24	-1.69
465	YPL266W	-2.3	-1.03	0	-0.18	-0.38
466	YKL035W	1.87	-0.09	-0.42	0.42	0.56
467	YML037C	0.69	-0.06	-0.14	-1.6	-0.62
468	YMR031W-A	1.45	0.23	0.14	-0.84	-0.76
469	YMR122C	0.82	-0.23	-0.36	-0.81	-1.47
470	YGR035C	0.45	-0.32	-0.27	-0.58	-1.84
471	YHR049W	-1.84	-1.36	-1.18	0.44	0.45
472	YBR048W	-2.09	-1.4	-0.27	0.2	-0.23
473	YPR132W	-2.32	-1.56	-0.33	-0.03	-0.33
474	YDR447C	-2.47	-1.6	-0.2	-0.18	-0.36
475	YGL031C	-2.32	-1.43	-0.06	-0.03	-0.51
476	YLR130C	-2.32	-1.4	-1.03	-0.15	-0.03
477	YKL180W	-2.32	-1.22	-0.03	-0.03	-0.25
478	YGR210C	-1.84	-0.56	-0.15	0.45	-0.12
479	YMR009W	2.24	0.98	0.59	0.52	-0.04
480	YOR369C	-2.47	-1.77	-0.26	-0.19	-0.44
481	YJL148W	-2.12	-0.47	0.16	-0.09	-0.54
482	YDR293C	1.13	0.67	0.15	-1.15	-0.32
483	YDL160C	0.64	-0.3	0.15	-1.64	-0.54
484	YOR028C	0.83	-1.45	-0.76	-0.29	-0.89
485	YGR085C	-2.32	-1.18	-0.25	-0.04	-0.3
486	YOR287C	-1.9	-0.6	0.38	-0.03	-0.57
487	YLR152C	2.07	1.28	0.42	-0.2	0.01
488	YOL140W	0.81	1.47	1.54	0.28	-0.73
489	YBL027W	-2.12	-1.25	-0.03	0.15	-0.03
490	YDR500C	-2.12	-1.03	-0.14	0.14	-0.2
491	YDL243C	1.89	0.1	0.14	0.07	-0.37
492	YLR196W	-2.25	-0.92	0.01	-0.2	-0.62
493	YOL151W	0.99	-0.2	-0.36	0.39	1.89
494	YBR169C	2.49	1.34	0.43	0.24	0.76
495	YOL076W	2.33	0.63	0.45	0.94	0.08
496	YLR413W	-3.47	-1.94	-1.22	-2.18	-3.06
497	YDR033W	-2	-1.18	-0.51	0.25	0.07
498	YGR192C	-1.32	-0.43	0.18	0.93	0.92
499	YOL086C	-1.06	-0.64	0.4	1.18	0.49
500	YLR340W	-2.64	-1.64	-0.6	-0.4	-0.6
501	YOL037C	-1.74	0.5	0.04	-0.43	0.24
502	YBL054W	-2.12	-0.3	-0.07	0.12	-0.23
503	YHR020W	-2.56	-0.43	-0.32	-0.38	-0.34
504	YGR208W	0.24	1.38	0.3	-0.71	-0.86
505	YLR164W	1.56	2.06	0.39	0.66	-0.17
506	YHL010C	1.08	0.84	-1.15	-0.58	-0.27
507	YOR087W	0.75	0.14	1.14	-0.31	-1.09
508	YNL030W	-1.47	-0.43	-0.45	0.76	0.37
509	YGL126W	-1.16	0.28	-0.18	0.41	-1.81
510	YJR123W	-2.12	-1.29	-0.2	0.1	-0.12
511	YGR118W	-2.25	-1.03	-0.14	-0.03	-0.25
512	YER074W	-2.25	-0.89	-0.04	-0.03	-0.62
513	YER069W	2.6	3.15	2.83	2.18	0.93
514	YCL042W	1.64	0.11	-0.58	1.02	0.74
515	YBL032W	-0.81	-0.97	-0.4	1.25	0.08
516	YNL243W	1.22	0.86	-1	0.77	-0.76
517	YGL225W	-1.51	-0.84	-0.1	0.71	-0.1
518	YNR015W	-1.74	-0.47	0.48	0.1	-1.01
519	YHL030W	1.34	0.16	-0.63	-0.87	-0.54
520	YGR160W	-2.06	-0.09	0.15	-1.56	-1.74
521	YBR162C	-1.25	-0.6	0.18	0.96	0.59
522	YBL003C	-1.22	0.12	0.58	0.99	0.66
523	YKR034W	2.73	2.6	1.91	4.11	3.27
524	YPL277C	-0.36	-0.48	0.11	1.48	1.72
525	YCL020W	1.23	1.36	1.53	-0.67	0.15
526	YJL191W	-2	-1.12	-0.42	0.2	-0.07
527	YPR142C	-1.49	-0.6	0.71	-0.22	-0.47
528	YDR021W	-1.4	-0.25	-0.09	0.8	-0.27
529	YBR089W	-1.43	0.77	0.51	0.39	0.26
530	YLR276C	-2.47	-0.58	-0.27	-0.38	-0.54
531	YIL101C	2.17	0.5	-0.03	0.62	1.06
532	YMR215W	-1.09	-0.79	0.4	0.48	1.1
533	YML131W	1.17	0.14	-0.25	1.1	1.94
534	YJR008W	2.16	0.82	-0.03	0.65	1.63
535	YOR273C	1.56	-0.63	-0.42	-0.13	1.12
536	YBR046C	1.92	0.77	-0.27	-0.23	-0.06
537	YMR306C-A	1.16	-0.17	-0.51	-1.03	-0.17
538	YMR086W	0.6	0.87	-0.09	-1.32	-0.71
539	YHR089C	-1.94	-0.47	0.25	-1.47	-0.2
540	YGR148C	-2.18	-1.22	0.01	-0.25	-0.49
541	YNL064C	-2.18	-1.06	-0.89	0.01	-0.17
542	YDR300C	-1.89	-0.64	0.3	-0.17	-0.38
543	YNL113W	-2.25	-0.74	-0.42	-0.06	-0.3
544	YGR280C	-2.25	-0.47	-0.06	-0.32	-0.54
545	YLR183C	-2	-0.06	0.18	0.1	0.19
546	YMR162C	0.58	0.44	-0.14	-1.6	-0.51
547	YNR041C	-1.35	0.83	-0.47	-1.05	0.11
548	YHR053C	-1.36	0.2	-0.4	0.82	0.1
549	YHR094C	-2.12	-0.81	-0.01	0.06	-0.14
550	YIL090W	-0.62	0.24	1.42	-0.76	-0.38
551	YPR096C	0.47	0.26	0.13	-1.71	-0.83
552	YEL009C	-1.18	0.06	0.48	1	0.78
553	YDR324C	-2.32	-0.69	-0.14	-0.54	-0.6
554	YDR091C	-2.32	-0.62	-0.34	-0.14	-0.27
555	YHL036W	3.25	1.91	1.18	1.08	1.24
556	YDL121C	-0.15	-0.58	-0.15	-2.32	-0.15
557	YLR012C	0.57	-0.43	0.49	-0.74	-1.6
558	YBL072C	-2.32	-1.56	-0.2	-0.15	-0.36
559	YHR169W	-1.94	-0.79	0.23	0.07	-0.23
560	YHR065C	-1.94	-0.38	0.23	-0.43	-0.15
561	YJL213W	1.95	1.24	0.45	-0.21	0.04
562	YOL036W	0.42	-1.44	-0.13	-1.74	-0.03
563	YPR061C	1.81	0.54	0.29	0.07	-0.35
564	YGR066C	1.65	0.52	-0.17	-0.27	-0.51
565	YMR104C	1.42	0.44	-0.27	-0.03	-0.74
566	YNL043C	-0.74	-0.34	-0.67	0.6	1.42
567	YPL057C	-0.53	-0.1	0.05	0.52	1.63
568	YNR043W	-1.75	-0.56	-0.12	-0.86	0.41
569	YLR017W	-2.12	-0.62	0.04	-0.94	-0.4
570	YPL239W	-2.06	-0.57	-0.11	0.1	-0.15
571	YJR152W	2.31	4.47	3.16	3.64	2.75
572	YLR158C	0.9	1.88	0.55	2.7	2.46
573	YHR055C	-1.36	0.12	-0.47	0.79	0.16
574	YOR063W	-2.18	-1.15	-0.03	-0.54	-0.14
575	YNL015W	1.76	1.66	0.52	1.53	2.67
576	YOL023W	1.72	0	0.88	-0.38	-0.43
577	YPL263C	-2.13	-0.69	0.02	-1.18	-1.28
578	YAL007C	-1.43	-0.2	-0.4	0.32	0.72
579	YPR187W	-1.67	-0.53	-0.22	0.48	0.32
580	YIL170W	0.74	-0.22	-0.54	-0.47	1.6
581	YPL185W	2.02	0.58	-0.12	0.75	0.53
582	YDR475C	1.08	0.87	0.08	-1.06	0.16
583	YDR133C	1.8	0.1	0.04	0.72	-0.34
584	YNR053C	-1.37	0	0.01	0.49	0.77
585	YHR179W	-1.56	-0.14	0.01	0.06	0.58
586	YHR071W	1.32	2.13	0.61	-0.01	0.06
587	YJR072C	-2.47	-0.6	-0.34	-0.84	-0.89
588	YGL037C	2.28	0.8	0.15	0.97	1.24
589	YKR098C	1.99	0.21	-0.14	0.12	0.03
590	YNL207W	1.46	-0.19	-0.23	-0.16	-0.67
591	YDR361C	-2.4	-0.74	-0.27	-0.27	-0.62
592	YBR147W	2.58	4.09	2.28	2.63	1.97
593	YJR091C	0.97	0.16	0.26	-1.15	0.24
594	YAR073W	-2	-1.06	0.12	-0.29	0.07
595	YBL068W	-2.18	-1.09	-0.49	-0.06	-0.29
596	YNL110C	-1.79	-0.51	0.33	0.31	-0.09
597	YDL014W	-1.69	-0.36	-0.25	0.43	-0.3
598	YOR077W	0.35	-1.11	0.04	0.21	1
599	YJL164C	2.14	0.64	0.03	0.94	0.81
600	YIL113W	1.35	-0.6	-0.76	-0.12	-0.1
601	YFL054C	1.84	0.03	0.26	-0.27	-0.23
602	YPR076W	0.79	0.68	-0.11	-1.32	-0.74
603	YDL037C	-0.17	-0.34	-0.18	1.32	-0.79
604	YJR063W	-2.18	-0.69	-0.17	-0.07	-0.38
605	YKL161C	-0.3	-0.58	-0.64	0.18	1.47
606	YDL085W	0.82	0.51	0.38	0.48	-1.29
607	YCL037C	-1.79	-0.62	-0.14	-2.25	-1.79
608	YOL061W	-1.43	-0.81	0.56	0.68	0.21
609	YBR262C	-1.25	0.86	0.15	-0.15	-0.09
610	YGL099W	-2.4	-1.12	-0.29	-0.92	-0.69
611	YKL181W	-2.25	-0.76	-0.56	-0.14	-0.36
612	YNL093W	0.38	0.3	-0.76	0.46	1.34
613	YJL155C	1.88	-0.07	-0.22	0.1	-0.03
614	YMR132C	0.01	0.01	1.68	0.15	-0.42
615	YOL089C	1.59	0.1	-0.3	0.3	-0.51
616	YMR304C-A	-1.51	-0.56	-0.49	0.38	0.59
617	YGR153W	2.01	0.44	-0.09	-0.04	0.45
618	YOR101W	-0.94	-0.58	1.16	-0.01	-0.3
619	YOL110W	-1.08	-0.07	-0.23	-0.79	-2.16
620	YBR126C	1.91	0.59	-0.18	1.1	0.7
621	YGR121C	2.6	1.89	1.22	0.9	0.51
622	YOL162W	2.09	1.42	1.25	0.19	0
623	YOR086C	0.96	0.2	-0.28	-1.13	-0.43
624	YCR068W	1.53	0.04	0.18	-0.32	-0.56
625	YOR105W	0.01	0.75	-1.34	-0.66	-0.58
626	YCL074W	1.38	0.04	0	0	-0.71
627	YPL111W	-1.8	-2.29	-0.2	-2.26	-2.25
628	YLR378C	-1.32	0.77	-0.56	-0.17	0.3
629	YBR291C	0.7	2.79	2.19	2.42	1.86
630	YDR449C	-2.32	-0.62	-0.23	-0.25	-0.32
631	YMR110C	2.02	0.3	-0.06	0.37	0.67
632	YIL099W	1.86	0.07	-0.22	0	0.14
633	YOR153W	-0.36	-0.4	-0.66	-2.44	-2.25
634	YGL102C	-1.84	-1.32	-0.22	0.24	-0.4
635	YBR054W	-1.56	-0.81	-0.34	0.46	0.52
636	YCR016W	-1.79	-0.51	0.29	-0.34	-0.71
637	YHR197W	-2.18	-0.71	-0.1	-0.43	-0.51
638	YBR088C	-2.12	-0.04	-0.07	-0.27	-0.49
639	YOR059C	1.57	0.48	0.2	-0.5	0.24
640	YLR160C	0.75	1.65	0.39	2.19	2.46
641	YNL274C	3	1.79	0.93	1.68	1.66
642	YDR018C	0.67	-0.89	0.6	1.06	1.18
643	YGR281W	1.18	0.29	-0.21	-0.89	-0.02
644	YGR190C	-0.29	0.18	0.01	-1.89	-1.09
645	YPL278C	-0.66	-0.48	-0.33	0.99	1.41
646	YGR264C	-2.06	-1	-0.18	0.01	-0.12
647	YIL096C	-2.06	-0.18	0.01	-0.2	-0.51
648	YPR116W	0.18	0.5	-0.28	-1.56	-0.88
649	YKR042W	-1.22	-0.74	-0.4	0.84	-0.04
650	YDR382W	-1.94	-1.43	0.12	-0.01	-0.25
651	YPL090C	-2.13	-1.42	-0.15	-0.07	-0.4
652	YOR061W	-1.48	0.03	0.58	0.28	0.1
653	YDL110C	2.51	1.29	0.45	0.65	1.1
654	YMR090W	2.49	1.77	0.44	1.04	1.52
655	YNL151C	-1.6	-0.42	0.45	0.12	-0.12
656	YFR001W	-1.84	-0.49	0.21	0.07	-0.36
657	YLR002C	-2.06	-0.62	-0.01	-0.4	-0.36
658	YGR110W	0.53	0.8	2.5	0.45	0.49
659	YMR262W	1.43	-0.22	-0.62	0.1	0.41
660	YNL173C	2.13	1.42	0.25	0.08	0.28
661	YHR216W	-1.94	-1.15	-0.2	-0.12	0.11
662	YHR128W	-1.64	-0.22	-0.45	0.41	-0.36
663	YHR196W	-1.94	-0.22	0.06	0.11	-0.07
664	YIL097W	1.62	0.14	-0.42	0.29	0.88
665	YDR395W	-1.79	-0.79	0.25	-0.58	-0.25
666	YNL022C	-1.94	-0.62	-0.3	0.1	-0.29
667	YKL082C	-1.84	-0.29	0.2	-0.25	-0.36
668	YNL036W	2.85	1.99	0.82	1.16	1.6
669	YBL017C	0.86	0.46	0.45	-0.8	1.23
670	YLR384C	1.3	0.79	-0.25	0.74	-0.73
671	YOL148C	0.62	-0.08	0.95	0.12	-1.08
672	YPR070W	0.91	-0.16	-0.14	0.13	-1.12
673	YGR200C	-2.18	-0.84	-0.15	-0.49	-0.4
674	YGR283C	-2.12	-0.27	-0.25	-0.25	-0.09
675	YOR076C	0.77	1.17	-0.03	-0.86	-0.71
676	YGR130C	2.25	0.73	0.51	0.23	0.23
677	YBL043W	0.08	1.93	-0.07	-0.09	0.18
678	YGL205W	0.34	0.59	1.85	-0.06	-0.17
679	YBL111C	1.33	0.74	0.41	0.03	-0.69
680	YLR310C	0.35	0.24	0.14	-1.67	-0.74
681	YMR107W	1.23	0.86	0.21	0.82	-0.79
682	YGL149W	0.11	0.38	-0.22	-1.64	-0.92
683	YER087C-A	-1.51	-0.51	-0.49	-0.06	0.51
684	YKR060W	-1.94	-0.43	-0.06	0.08	-0.17
685	YPL226W	-2.59	-0.76	-0.57	-0.91	-0.85
686	YBR183W	1.78	0.69	0.63	0.2	-0.23
687	YMR241W	-0.64	1.34	1.18	1.37	1.12
688	YEL060C	2.38	1.43	0.37	1.43	1.96
689	YNL092W	1.63	0.16	-0.38	0.67	0.32
690	YHL024W	1.92	0.78	-0.09	0.25	0.08
691	YBR132C	1.25	0.53	-0.38	-0.43	-0.76
692	YDR432W	1.15	0.58	-0.2	-0.43	-0.86
693	YKL101W	-1.43	0.58	-0.25	-0.81	-0.36
694	YMR031C	1.68	0.5	0.11	-0.06	-0.32
695	YGL239C	0.06	-0.42	-0.25	-1.94	-0.84
696	YDL201W	-2	-0.97	-0.29	0	-0.15
697	YLR221C	-1.74	-0.4	0.03	0.26	-0.09
698	YLR083C	-2.25	-0.69	-0.25	-0.6	-0.69
699	YLR251W	2.03	0.19	0.03	1.01	1.4
700	YPR150W	2.09	1.1	0.84	0.09	0.62
